Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,185.970001,194.009995,184.070007,191.820007,191.820007,0
2020-04-02,191.820007,206.339996,191.820007,201.070007,201.070007,0
2020-04-03,201.529999,207.380005,199.350006,200.410004,200.410004,0
2020-04-06,200.410004,214.160004,200.410004,211.270004,211.270004,0
2020-04-07,211.270004,215.529999,207.020004,209.179993,209.179993,0
2020-04-08,209.360001,213.110001,207.639999,211.369995,211.369995,0
2020-04-09,218.729996,233.169998,218.630005,232.740005,232.740005,0
2020-04-13,232.899994,251.389999,224.910004,249.270004,249.270004,0
2020-04-14,252.960007,263.170013,245.750000,251.110001,251.110001,0
2020-04-15,243.899994,252.710007,240.309998,247.119995,247.119995,0
2020-04-16,249.479996,255.119995,246.070007,251.889999,251.889999,0
2020-04-20,245.740005,255.089996,245.119995,251.110001,251.110001,0
2020-04-21,241.440002,251.919998,241.440002,249.000000,249.000000,0
2020-04-22,249.000000,267.230011,249.000000,266.070007,266.070007,0
2020-04-23,272.570007,285.609985,270.089996,273.029999,273.029999,0
2020-04-24,280.029999,282.190002,270.179993,277.589996,277.589996,0
2020-04-27,278.350006,280.230011,268.790009,276.049988,276.049988,0
2020-04-28,273.190002,277.200012,268.649994,275.380005,275.380005,0
2020-04-29,274.149994,279.540009,268.739990,279.420013,279.420013,0
2020-04-30,279.420013,279.989990,266.399994,267.399994,267.399994,0
2020-05-01,260.589996,276.660004,260.440002,276.299988,276.299988,0
2020-05-04,280.040009,284.059998,278.630005,282.899994,282.899994,0
2020-05-05,280.040009,287.559998,275.470001,286.220001,286.220001,0
2020-05-06,281.119995,282.890015,275.369995,276.309998,276.309998,0
2020-05-07,279.899994,289.500000,275.940002,285.730011,285.730011,0
2020-05-08,285.799988,291.220001,283.149994,285.279999,285.279999,0
2020-05-11,284.500000,287.220001,273.410004,275.339996,275.339996,0
2020-05-12,279.019989,284.950012,274.769989,275.459991,275.459991,0
2020-05-13,279.899994,281.660004,270.279999,275.500000,275.500000,0
2020-05-14,275.910004,287.170013,275.010010,285.350006,285.350006,0
2020-05-15,285.350006,298.130005,285.350006,296.920013,296.920013,0
2020-05-18,300.869995,301.309998,287.299988,288.200012,288.200012,0
2020-05-19,292.890015,302.329987,292.500000,300.100006,300.100006,0
2020-05-20,302.029999,303.019989,294.429993,295.540009,295.540009,0
2020-05-21,290.859985,291.519989,279.779999,286.929993,286.929993,0
2020-05-22,289.000000,294.029999,284.160004,285.130005,285.130005,0
2020-05-26,281.329987,281.329987,269.829987,270.549988,270.549988,0
2020-05-27,270.549988,271.059998,259.549988,271.059998,271.059998,0
2020-05-28,275.970001,278.510010,267.440002,270.290009,270.290009,0
2020-05-29,276.970001,277.640015,272.220001,273.329987,273.329987,0
2020-06-01,275.410004,280.959991,273.609985,280.920013,280.920013,0
2020-06-02,282.950012,282.950012,269.109985,270.339996,270.339996,0
2020-06-03,262.700012,266.359985,256.850006,260.570007,260.570007,0
2020-06-04,265.709991,267.899994,261.600006,264.380005,264.380005,0
2020-06-05,254.520004,261.339996,250.160004,261.260010,261.260010,0
2020-06-08,261.459991,264.220001,258.019989,263.269989,263.269989,0
